lng,lat
31.5,34.75
32.067,34.765
31.736,34.656
42.783,12.6
48.14,11.68
31.78,35.23
32.816,34.989
32.081,34.814
31.926,34.803
32.333,34.86
31.897,34.819
32.011,34.772
31.964,34.804
32.166,34.837
32.023,34.75
31.951,34.895
32.182,34.936
32.151,34.888
32.147,34.842
31.925,34.867
31.816,34.721
31.792,34.65
32.089,34.872
51.496,-0.122
31.75,34.989
32.25,34.917
32.001,34.83
32.035,34.886
32.762,34.972
48.204,11.559
37.419,-122.057
31.934,34.986
31.999,34.946
32.019,34.811
32.543,35.265
47,8
31.854,34.839
33.006,35.094
32.762,35.148
32.053,34.878
31.9,35.2
32.436,34.92
32.001,34.801
31.787,34.707
32.8,34.983
31.37,34.815
31.782,35.308
32.693,35.371
33.221,35.623
55.749,37.618
32.181,34.867
31.609,34.715
32.467,35
32.055,34.858
48.152,16.388
31.901,34.902
50.85,4.35
31.815,34.78
50.1,8.604
31.334,34.634
31.033,34.717
32.555,34.916
32.492,34.892
47.493,19.051
32.709,35.105
44.383,26.167
32.203,34.823
32.107,35.185
13.762,100.531
40.739,-73.983
32.708,35.325
51.509,-0.095
52.35,4.917
32.09,34.84
28.417,-106.867
32,35.25
55.739,37.607
48.858,2.339
41.848,-87.652
32.531,35.338
31.797,35.065
42.85,-2.667
30.451,-91.155
44.043,-79.491
32.031,34.846
35.643,139.768
37.751,-97.822
49.283,16.7
40.801,-73.965
45.633,25.583
47.606,-122.332
51.3,4.708
13.759,100.489
31.763,35.134
-12.983,-38.517
18.467,-69.9
32.022,34.867
32.159,34.974
42.7,23.333
48.217,16.4
13.75,100.467
47.68,-122.121
32.687,35.421
52.239,21.036
13.783,100.517
32.014,34.933
42.273,-83.713
32.067,34.767
32.807,-117.132
50.433,30.517
36.668,-78.387
54.9,23.9
20,77
29.558,34.948
40.558,-74.285
32.89,35.407
32.977,35.099
34.058,-118.278
39.048,-77.473
43.148,12.11
32.506,34.921
32.862,35.364
37.511,126.974
42.365,-71.103
